AveragePrice,Total Volume
1.33,62505646.52
1.35,61034457.1
0.93,52288697.89
1.08,47293921.6
1.28,46324529.7
1.26,44655461.51
0.99,43409835.75
0.98,43167806.09
1.02,42939821.55
1.07,42867608.54
1.12,42140393.39
1.28,41386314.12
1.31,41291704.39
0.99,41077470.65
1.33,40741214.05
1.28,40449603.12
1.11,40231259.65
1.07,40171640.84
1.34,40021528.76
1.33,40019075.24
1.12,39993186.04
1.45,39914996.74
1.11,39607695.3
1.26,39373579.25
1.05,39367336.18
1.35,38879716.85
1.37,38489936.14
1.27,38315500.43
1.32,38295488.31
1.07,38267341.61
1.23,38247669.33
1.19,38142088.04
1.43,38049802.62
1.26,38010426.16
1.2,37943670.34
1.22,37467885.19
1.19,37352360.59
1.13,37305307.68
1.16,37299945.22
1.02,37130688.91
1.12,37039853.8
1.11,37030893.73
1.07,37026085.75
0.99,37007797.69
1.07,36958035.51
1.06,36801817.68
0.99,36709887.49
0.99,36703156.72
1.06,36634269.03
1.17,36617023.79
1.24,36584029.39
1.22,36549995.66
0.99,36476441.86
1.08,36400886.58
0.96,36374516.14
1.07,36335483.78
0.99,35930195.92
1,35734613.9
1.13,35729013.92
1.12,35634913.01
0.99,35580820
1.09,35567568.43
1.09,35344183.15
0.95,35264336.01
0.96,35182320.78
1.07,35064506.04
0.93,34785712.55
1.07,34721249.92
0.97,34468017.36
1.15,34426341.87
1.12,34397651.15
1.09,34386177.3
1.01,34126730.95
1.15,33993931.31
1.08,33905854.58
0.97,33824253
1.14,33819909.09
1.01,33720159.09
1.13,33684175.01
0.99,33668450.55
1.1,33592097.72
0.99,33526480.08
1.1,33254911.87
0.96,33091256.26
1.11,32994014.16
1.1,32817254.13
1,32804733.22
1.12,32787079.21
1.12,32656123.63
0.99,32608301.51
1.04,32555119.32
1.11,32529920.23
1,32513550.51
1.12,32455047.11
1.1,32408705.7
0.99,32339377.09
1.1,32336225
1.06,32324647.66
1.03,32137333.01
0.96,32051594.24
1.1,32046401.64
1.11,32027686.15
1.11,32020573.94
1,31936856.18
1.17,31756097.22
1.11,31660031.68
1.15,31621221.9
1.04,31595125.23
1.16,31500669.44
1.12,31346091.46
1.04,31324277.73
1.05,31245835.65
1.12,31201590.22
1.19,31047484.27
0.99,30894157.8
1.24,30757767.03
1.28,30652211.08
1.19,30358467.88
1.17,30305112.89
1.09,30287853.7
1.18,30237911.23
1.24,30094698.85
1.16,30093540.7
1.14,29982648.43
1.16,29936729.76
1.17,29913744.37
1.2,29761638.48
1.18,29699845.61
1.1,29615008.49
1.16,29583882.61
1.15,29572225.71
1.16,29569086.56
1.09,29375123.6
1.26,29253484
1.19,29216198.15
1.18,29102349.33
1.27,29063542.75
1.26,29043458.85
1.17,28857581.98
1.29,28800396.57
1.28,28785279.75
1.15,28597756.27
1.29,28485715.97
1.25,28470310.84
1.1,28243505.52
1.24,28041335.38
1.26,28012520.93
1.16,27753508.14
1.11,27707046.82
1.25,27297983.67
1.09,26808410.65
1.06,26706971.51
1.2,26385081.36
1.23,26240072.11
1.17,25394902.82
1.08,25114228.11
0.97,25083647.17
1.03,25031589.09
0.99,24989702.75
0.71,24753513.95
1.06,24686675
1.09,24637148.38
1.01,24610645.21
1.11,24397166.19
1.14,24075126.49
1.11,22923062.65
1.16,22617999.38
0.94,22534698.38
1.12,21009730.21
0.99,11274749.11
1.03,11213596.29
1.08,10894677.77
1.16,10565056.41
1.19,10361698.17
1.05,10323174.59
1.12,9718438.84
1.1,9421609.22
1.07,9032180.67
1.07,9010588.32
1.09,8706859.44
1.05,8567534.49
1.15,8545908.75
1.04,8389918.04
1.06,8362504.08
0.99,8153340.48
1.12,8055482.07
0.97,8043965.41
1.03,7922898.43
0.96,7876147.38
1.06,7872203.23
1,7808461.74
0.96,7730431.28
0.99,7707711.9
1.19,7667064.46
1.09,7661483.37
0.98,7648478.57
1.17,7637424.02
1,7606351.8
1.14,7592473.98
1.06,7589357.36
0.99,7577456.14
1.14,7568132.39
1.07,7561590.72
0.91,7545938.97
1.03,7523061.26
1.08,7516415.07
1.18,7508650.27
1.01,7486622.03
1.13,7483931.18
1.07,7463494.79
1.01,7449374.27
1.02,7438252.93
1.19,7432376.14
1.07,7417264.07
1.05,7408451.31
1.04,7399716.74
1.06,7371498.76
1.02,7365675.31
0.94,7360925.84
1.14,7281887.35
1.07,7281803.61
1.07,7275842.54
1.15,7254940.65
1.03,7221572.36
1.11,7194967.49
1.13,7193896.75
1.07,7187200.64
1.15,7175276.66
1.07,7158300.84
1.17,7143624.99
1.28,7138766.83
1.18,7132711.23
1.14,7128446.75
1.27,7110840.99
1.25,7103726.14
1.24,7094764.73
1.08,7087455.16
1.25,7081399.02
1.26,7057862
1.14,7053820.12
1.26,7047624.39
1.14,7043078.06
1.17,7040683.56
1.28,7020076.49
1.15,7012665.19
1.26,7007265.31
1.27,6999255.87
1.19,6998582.19
1.18,6964845.92
1.25,6955988.8
1.17,6953488.71
1.11,6949890.75
1.23,6938294.62
1.2,6937095.53
1.04,6934356.31
1.22,6933382.4
1.17,6929193.97
1.23,6928736.97
1.1,6927745.15
1.02,6906412.5
1.35,6903293
1.37,6899727.12
1.35,6893900.54
1.23,6862241.03
1.39,6862176.64
1.4,6852304.51
1.36,6847218.72
1.3,6822109.27
1.23,6817643.13
1.36,6808805.4
1.29,6807283.15
1.3,6802635.25
1.33,6802084.11
1.31,6783106.02
1.54,6777539
1.59,6774726.47
1.56,6774200.48
1.38,6760001.68
1.49,6750361.46
1.5,6749081.2
1.47,6746174.8
1.47,6741662.31
1.39,6728120.77
1.36,6725483.24
1.45,6724196.61
1.47,6721690.88
1.36,6718358.1
1.5,6718011.83
1.34,6700986.44
1.38,6700134.25
1.4,6696300.05
1.43,6687273.64
1.35,6687009.44
1.33,6681646.14
1.42,6680540.39
1.41,6680323.25
1.42,6676702.06
1.42,6675892.1
1.44,6669221.29
1.39,6667896.16
1.4,6657073.54
1.47,6656554.36
1.35,6653048.21
1.43,6650357.96
1.41,6648833.68
1.44,6645738.99
1.36,6642111.52
1.33,6621293.03
1.5,6612422.28
1.52,6610010.64
1.54,6607292.61
1.4,6603707.93
0.9,6599048.85
0.94,6596769.24
0.87,6588277.7
0.78,6585882.05
0.91,6579144.13
0.92,6575186.76
0.83,6558729.33
0.98,6553308.82
0.95,6551804
1.12,6549043.84
1.07,6538335.89
1.08,6528056.18
1.02,6526488.94
1.04,6514441.7
1.14,6509000.56
1.13,6507093.57
1.09,6506673.96
1.08,6506234.86
1.18,6505499.28
1.11,6501981.08
1.1,6499668.48
1.16,6494533.3
1.13,6488605.43
1.18,6487362.71
1.13,6478952.08
1.12,6476206.54
1.1,6466429.64
1.07,6449698.15
0.97,6442820.51
0.98,6429870.23
0.98,6417143.95
1.1,6415228.14
1.08,6414263.17
0.93,6407277.49
0.88,6400340.97
1.15,6397813.48
1.05,6380287.71
1.06,6379219.83
1.12,6374842.9
1.1,6374019.03
1.06,6370622.3
1.06,6368728.85
0.96,6358768.95
0.84,6351400.69
0.96,6349957.65
0.96,6349601.68
0.91,6347964.79
0.85,6342089.92
1.06,6331953.73
1.02,6330634.55
0.92,6323724.8
0.93,6311280.51
0.96,6308000.34
0.98,6303406.82
0.95,6295529.61
0.99,6290164.89
0.95,6288493
1,6276764.8
1.01,6249182.98
1.03,6246380.73
1.11,6242381.13
1.27,6239677.27
1.26,6236903.31
1.14,6236078.55
1.22,6234006.44
1.09,6232081.27
1.2,6216040.13
1.19,6207638.5
1.01,6205211.05
1.2,6202513.84
1.15,6200613.68
1.24,6195284.67
1.21,6194368.66
1.24,6183823.03
1.23,6182298
1.19,6177216.24
1.18,6160751.92
1.18,6154503.04
1.17,6153608.75
1.17,6150665.32
1.15,6148732.19
1.15,6144827.51
1.19,6139159.81
1.2,6137752.61
1.21,6134040.58
1.19,6130653.55
1,6127060.42
1.2,6118107.22
1.18,6114187.88
1.17,6113749.37
1.19,6104047.38
1.23,6097779.55
1.19,6084796.99
1.19,6079587.47
1.25,6075588.68
1.18,6068872.71
1.08,6060843.76
1.22,6059764.51
1.17,6058478.32
0.98,6046264.46
1.18,6037641
1.25,6024932.34
1.26,6024103.65
1.19,6017563.88
0.93,6013312.36
0.91,6008817.9
1.07,6005535.29
1.14,6000013.23
1.11,5990243.89
0.94,5979528.24
1.17,5972493.77
1.01,5953222.87
1,5952597.29
1.12,5951871.32
1.15,5949846.14
1.08,5947160.29
1.18,5939402.98
1.15,5936122.03
1.19,5930072.71
1.19,5929718.67
1.11,5927016.73
1.12,5919532.49
1.2,5919226.12
1.16,5903596.18
1.25,5900751.95
1.27,5900232.15
1.12,5894070.33
1.24,5889669.2
1.26,5882728.51
1.24,5874982.36
1.21,5871224.58
1.24,5871080.81
1.21,5864999.81
1.24,5862368.39
1.26,5850128.4
1.23,5848140.87
1.23,5840742.83
1.23,5831782.44
1.04,5830427.96
1.24,5822521.79
1.24,5811260.29
1.24,5806392.78
1.27,5805541.99
1.22,5798077.88
1.21,5794410.58
1.09,5791508.96
1.18,5787378.41
1.09,5780893.13
1.18,5777334.9
1.17,5775721.7
1.13,5775536.27
0.91,5761848.67
1.22,5756632.36
1.14,5755190.69
1.15,5735627.03
1.11,5720079.58
0.87,5719898.26
0.85,5719811.06
0.79,5718139.41
0.83,5715712.21
0.88,5714676.89
0.89,5713017.35
0.88,5703940.56
0.87,5703759.21
0.93,5699944.93
1.01,5698454.09
0.98,5694136.21
0.91,5693942.07
0.93,5688357.24
1.08,5682046.61
1.05,5680957.63
1.05,5663438.53
1.02,5655955.05
1.01,5653429.62
1.05,5652496.31
1.01,5647940.41
1.08,5647635.02
1.09,5647385.15
1.03,5646460.01
1.06,5641742.02
1.03,5637795
1.03,5637789.74
1.01,5637299.78
1.02,5636644.51
1.05,5634150.07
1.07,5630041.84
1.06,5627547
1.1,5621713.64
1.04,5618429.48
1.06,5617752.22
1.08,5616434.08
1.06,5609471.36
1.02,5599003.03
1.02,5596091.03
1.06,5593885.09
0.95,5584114.56
0.98,5578980.69
0.94,5572582.45
0.87,5571812.77
0.89,5571000.96
0.93,5570915.26
0.94,5557616.27
0.93,5557163.11
0.86,5556043.02
0.93,5550586.51
0.93,5548410.44
0.92,5548390.24
0.88,5544556
0.99,5544366.95
1.03,5543004.84
1.03,5534450.99
0.99,5531488.2
1.03,5529487.17
1.04,5528475.32
0.99,5526646.12
0.95,5525298.95
0.99,5498742.96
1.04,5498650.28
0.98,5483207.89
0.9,5475363.01
0.93,5474121.64
1.02,5471565.28
1,5470227.08
1.02,5467155.55
1.04,5463799.79
1.03,5461313.9
1.08,5451636.92
1.03,5451040.76
1,5449441.63
1.05,5442086.44
1.02,5432816.58
1.05,5428238.87
1.04,5416591.81
0.98,5414937.46
0.94,5413532.64
0.99,5412866.59
1.01,5409823.02
1.03,5409726.02
1.1,5405190.35
1.01,5391717.88
1,5385035.37
1.1,5382693.51
0.99,5375978.5
1.02,5374797.25
1,5368331.44
1.07,5367769.78
1.09,5353393.56
0.96,5346535.57
0.94,5344837.49
1.01,5341821.67
0.95,5338992.15
1.03,5338132.99
1.09,5333097.71
1.05,5328958.01
0.96,5328934.06
0.87,5322625.57
1.08,5318554.52
1.02,5316530.73
0.97,5314431.93
0.89,5308891.12
0.8,5308225.44
0.82,5304873.15
0.79,5303858
0.74,5303260.4
0.8,5291979.63
0.78,5289138.5
0.71,5286412.87
0.8,5278752.32
0.78,5262336.16
0.86,5259354.3
0.83,5247266.74
0.81,5239198.71
0.82,5236047.86
0.84,5235579.44
0.77,5225200.52
0.86,5216784.63
0.84,5214137.33
0.82,5211738.31
0.85,5208272.73
0.88,5208101.86
0.85,5204971.91
0.87,5201535.32
0.8,5200252.65
0.82,5197578.46
0.82,5193221
0.83,5188483.1
0.77,5167419.42
0.75,5148983.51
0.65,5144267.01
0.73,5142335.64
0.68,5142259.93
0.81,5141314.86
0.73,5141310.45
0.75,5140296.84
0.77,5138256.91
0.81,5134637.05
0.8,5130982.78
0.72,5130900.02
0.77,5126588.84
0.79,5116876.57
0.67,5108381.41
0.72,5106508.12
0.75,5094837.54
0.82,5073070.91
0.8,5072550.94
0.77,5070580.56
0.67,5063309.38
0.68,5062952.53
0.8,5062464.54
0.76,5054856.62
0.76,5040365.47
0.74,5031206.93
0.98,5026688.71
1.05,5024858.14
0.83,5007523.13
0.76,5007356.22
1.12,5006659.75
0.85,5002102.24
0.82,4999100.74
0.93,4999031.79
0.82,4992701.64
0.93,4987381.36
0.87,4986270.76
0.9,4982700.11
1.02,4967651.41
0.97,4959257.88
0.98,4954059.33
1.01,4951756.35
1.09,4945835.54
1.14,4944373.81
1.2,4943781.29
1.17,4943687.09
1.09,4938526.47
1.05,4929884.26
1.18,4926555.69
1.1,4924049.79
1.18,4923565.04
1.19,4922621.54
1.2,4919102.69
1.16,4912068.04
1.16,4899439.92
1.11,4895485.63
1.26,4891516.5
1.16,4878037.64
1.21,4874124.41
1.08,4869309.42
1.01,4866607.14
1.19,4865296.26
1.08,4864814.01
1.05,4864335
1.19,4864099.95
1.11,4855273.71
1.15,4840949.87
1.03,4834759.09
1.03,4831664.77
1.03,4829487.03
1,4824586.17
1.12,4815249.22
0.95,4804279.06
0.93,4804278.16
1.02,4801621.08
0.99,4792907.32
1.09,4792868.29
0.99,4786334.13
1.08,4782021
1.1,4769138.17
1.05,4760018.22
0.98,4759791.13
1.11,4740050.22
1.09,4737649.03
1.1,4735152.21
1.03,4721927.3
1.04,4713935.35
1.17,4703681.01
0.97,4698266.8
0.99,4696372.14
1.1,4695737.21
1.17,4691937.5
1,4688502.05
1.03,4687705.56
1.09,4685091.86
0.96,4677784.49
1.11,4668135.31
0.97,4665536.74
1.07,4661457.29
1.04,4655896.95
0.99,4651540.06
1.04,4651107.62
1.02,4650798.49
1.06,4648718.22
1,4621126.31
0.97,4609250.24
1.04,4599028.54
0.97,4597313.41
1.09,4592461.81
1.03,4584245.6
0.95,4575710.62
1.11,4570515.87
1.06,4565207.85
1.01,4563745.14
0.96,4561749.66
1.02,4558888.55
1.11,4553170.77
0.97,4544750.92
0.97,4529672.68
1.13,4525386.69
1.01,4524974.68
0.97,4524219.73
1.15,4508474
1.16,4506892.62
1.11,4488892.01
0.92,4487625.78
1.19,4486744.99
1.1,4481990.34
1.08,4481119.44
1.01,4477594.56
1.13,4468555.34
1.13,4460481.53
1.24,4457049.41
0.93,4456957.62
1.12,4454904.4
1.11,4454138.91
1.2,4420877.4
0.93,4413876.67
0.91,4412280.93
1.14,4406341.73
0.94,4405343.75
0.97,4398887.92
0.99,4392810
1.15,4380657.13
0.88,4372728.72
0.95,4369089.47
1.09,4362824
0.91,4360013.67
1.28,4347510.51
0.89,4329239.82
1.08,4324700.33
1.05,4323440.02
1.12,4313430.98
1.05,4309301.79
1.19,4302561.08
1.16,4298883.17
1.1,4298514.96
0.96,4295280.16
1.07,4289149.75
1.14,4281593.13
1.31,4253815.59
1.3,4250958.55
0.97,4250394.01
1.36,4245947.2
1.06,4245702.35
1.09,4239016.69
0.93,4237221.91
1.13,4230674.67
1.22,4230448.98
1.11,4230002.92
0.91,4226925.7
1.35,4225245.4
1.08,4224677.32
0.95,4222039.27
1.31,4221435.38
1.21,4215552.57
1.24,4214624.13
0.94,4214313.1
1.19,4205775.44
1.07,4205294.58
1.03,4199974.24
0.95,4198992.14
1.01,4195423.29
1.01,4188245.99
1.03,4187550.98
1,4185900.67
1.07,4182730
1.03,4181226.81
1.09,4180237.98
0.98,4169213.2
1,4167531.38
1.1,4163120.72
1.03,4155042.11
1.02,4154658.67
1.05,4154218.26
1.1,4151444.41
1.02,4151016.69
1.03,4150510.67
1.07,4146220.81
1.04,4143712.22
1.14,4132666.26
1.03,4132191.54
1.12,4131614.84
1.14,4129136.03
1.1,4127080.33
1.12,4123104.83
1.14,4121661.3
1.13,4112725.9
1.07,4110305.09
1.08,4104371.46
1.12,4104031.93
1.13,4100932.47
1.2,4096560.83
1.15,4094677.85
1.09,4091257.98
1.15,4088061.71
1.05,4082887.98
1.14,4073408.38
1.06,4067134.96
1.11,4066640.98
1.18,4065583.41
1.09,4064847.35
1.04,4060850.93
1.1,4043204.76
1.04,4035234.26
1.02,4031949.04
1.16,4030251
1.15,4024822.13
1.07,4022549.75
0.91,4020724.58
1.13,4019648.55
1.08,4019384.71
1.1,4018833.97
1.02,4015563.02
1.16,4014477.31
1.11,4003121.77
1.14,3988654.48
1.1,3980574.14
1.17,3979264.02
1.16,3977196.18
1.09,3969578.89
1.09,3967109.33
1.13,3955098.89
1.11,3953699.57
0.93,3948234.94
1.05,3945270.4
1.16,3944850.17
1.15,3942054.31
1.17,3941512.2
1.07,3938985.06
1.19,3937000.67
1.18,3927688.07
1.1,3925300.14
1.09,3925104
1.07,3920643.53
1.1,3916908.69
1.17,3911075.35
1.19,3901825.7
1.17,3901054.42
1.19,3899040.66
1.2,3898235.29
1.19,3895844.89
1.13,3893220.87
1.21,3890225.41
1.22,3874143.18
1.21,3872680.79
1.19,3870633.16
1.19,3867453.83
1.17,3863314.25
1.21,3857605.11
1.17,3857262.14
1.18,3856643.75
1.21,3854099.9
1.14,3852439.62
1.08,3850645.65
1.2,3849051.4
1.15,3848715.52
1.07,3848128.2
1.2,3846196.3
1.22,3843139.76
1.02,3842682.36
1.06,3837027
1.17,3834290.51
1.24,3825966.51
1.26,3818114.32
1.05,3813808.25
1.27,3810950.39
1.18,3806974.62
1.24,3804851.11
1.19,3803512.06
1.32,3801508.26
1.27,3799154.1
1.12,3786141.18
1.16,3781504.91
1.16,3780455.44
1.2,3780081.91
0.93,3779295.69
1.38,3777193.46
1.3,3774004.27
1.29,3768359.35
1.25,3759282.62
1.11,3757524.71
1.27,3756625.12
1.26,3753201.03
1.14,3751927.63
1.12,3750714.49
1.12,3746598.18
1.16,3739072.7
1.3,3736814.35
1.32,3735389.44
1.06,3733135.22
1.25,3722102.33
1.27,3720458.83
1.25,3719603.21
1.15,3716886.69
1.29,3715458.49
1.33,3714237.95
1.34,3705262.31
1.2,3696551.52
1.25,3689140.93
1.25,3686005.68
1.36,3680754
1.35,3673260.93
1.25,3668037.65
1.33,3666944.13
1.22,3664088.6
1.11,3655667.22
1.4,3654633.49
1.43,3654450.88
1.12,3653376.07
1.38,3652549.7
1.39,3649478.04
1.09,3647362.37
1.32,3646868.94
1.35,3646363.66
1.39,3643417.33
1.38,3637220.72
1.06,3633174.13
0.78,3631321.55
0.75,3625630.64
0.73,3619364.21
0.74,3609377.95
0.79,3602112.79
0.73,3585183.3
0.72,3584134.9
0.75,3580363.85
0.77,3580022.43
0.88,3575499.21
0.9,3574050.61
0.79,3566752.43
0.82,3563268.97
0.86,3562841.46
0.83,3560841.76
0.89,3557777.32
0.89,3554252.13
0.88,3553642.53
0.89,3551402.91
0.92,3551337.17
0.92,3543152.49
0.9,3538946.22
0.79,3537243.04
0.78,3536857.97
0.79,3536333.98
0.79,3532480.92
0.74,3526205.21
0.74,3520408.65
0.62,3516276.38
0.72,3513388.32
0.72,3512131.09
0.83,3511185.14
0.82,3507226.18
0.76,3507155.74
0.74,3504253.8
0.79,3503236.08
0.82,3501344.46
0.79,3497026.98
0.83,3496412.09
0.79,3492828.1
0.8,3491991.63
0.77,3489057.04
0.78,3467770.71
0.87,3467762.25
0.82,3458790.86
0.73,3454819.97
0.7,3452207
0.72,3449361.49
0.77,3446284
0.77,3443333.94
0.78,3442454.03
0.71,3438536.39
1.04,3437632.8
1.1,3437563.27
1.03,3436864.41
0.92,3435374.51
1.08,3431698.41
1.11,3431676.04
1.08,3430235.17
